"iteration","lm_6layers_dyck_52-52 - _step","lm_6layers_dyck_52-52 - _step__MIN","lm_6layers_dyck_52-52 - _step__MAX","lm_6layers_dyck_52-52 - val_aux","lm_6layers_dyck_52-52 - val_aux__MIN","lm_6layers_dyck_52-52 - val_aux__MAX","lm_6layers_dyck_52-52 - test_aux","lm_6layers_dyck_52-52 - test_aux__MIN","lm_6layers_dyck_52-52 - test_aux__MAX","lm_6layers_dyck_62-62 - _step","lm_6layers_dyck_62-62 - _step__MIN","lm_6layers_dyck_62-62 - _step__MAX","lm_6layers_dyck_62-62 - val_aux","lm_6layers_dyck_62-62 - val_aux__MIN","lm_6layers_dyck_62-62 - val_aux__MAX","lm_6layers_dyck_62-62 - test_aux","lm_6layers_dyck_62-62 - test_aux__MIN","lm_6layers_dyck_62-62 - test_aux__MAX","lm_6layers_dyck_82-82 - _step","lm_6layers_dyck_82-82 - _step__MIN","lm_6layers_dyck_82-82 - _step__MAX","lm_6layers_dyck_82-82 - val_aux","lm_6layers_dyck_82-82 - val_aux__MIN","lm_6layers_dyck_82-82 - val_aux__MAX","lm_6layers_dyck_82-82 - test_aux","lm_6layers_dyck_82-82 - test_aux__MIN","lm_6layers_dyck_82-82 - test_aux__MAX","lm_6layers_dyck_72-72 - _step","lm_6layers_dyck_72-72 - _step__MIN","lm_6layers_dyck_72-72 - _step__MAX","lm_6layers_dyck_72-72 - val_aux","lm_6layers_dyck_72-72 - val_aux__MIN","lm_6layers_dyck_72-72 - val_aux__MAX","lm_6layers_dyck_72-72 - test_aux","lm_6layers_dyck_72-72 - test_aux__MIN","lm_6layers_dyck_72-72 - test_aux__MAX","lm_6layers_dyck_92-92 - _step","lm_6layers_dyck_92-92 - _step__MIN","lm_6layers_dyck_92-92 - _step__MAX","lm_6layers_dyck_92-92 - val_aux","lm_6layers_dyck_92-92 - val_aux__MIN","lm_6layers_dyck_92-92 - val_aux__MAX","lm_6layers_dyck_92-92 - test_aux","lm_6layers_dyck_92-92 - test_aux__MIN","lm_6layers_dyck_92-92 - test_aux__MAX","lm_6layers_dyck_42-42 - _step","lm_6layers_dyck_42-42 - _step__MIN","lm_6layers_dyck_42-42 - _step__MAX","lm_6layers_dyck_42-42 - val_aux","lm_6layers_dyck_42-42 - val_aux__MIN","lm_6layers_dyck_42-42 - val_aux__MAX","lm_6layers_dyck_42-42 - test_aux","lm_6layers_dyck_42-42 - test_aux__MIN","lm_6layers_dyck_42-42 - test_aux__MAX","lm_6layers_dyck_122-122 - _step","lm_6layers_dyck_122-122 - _step__MIN","lm_6layers_dyck_122-122 - _step__MAX","lm_6layers_dyck_122-122 - val_aux","lm_6layers_dyck_122-122 - val_aux__MIN","lm_6layers_dyck_122-122 - val_aux__MAX","lm_6layers_dyck_122-122 - test_aux","lm_6layers_dyck_122-122 - test_aux__MIN","lm_6layers_dyck_122-122 - test_aux__MAX","lm_6layers_dyck_112-112 - _step","lm_6layers_dyck_112-112 - _step__MIN","lm_6layers_dyck_112-112 - _step__MAX","lm_6layers_dyck_112-112 - val_aux","lm_6layers_dyck_112-112 - val_aux__MIN","lm_6layers_dyck_112-112 - val_aux__MAX","lm_6layers_dyck_112-112 - test_aux","lm_6layers_dyck_112-112 - test_aux__MIN","lm_6layers_dyck_112-112 - test_aux__MAX","lm_6layers_dyck_132-132 - _step","lm_6layers_dyck_132-132 - _step__MIN","lm_6layers_dyck_132-132 - _step__MAX","lm_6layers_dyck_132-132 - val_aux","lm_6layers_dyck_132-132 - val_aux__MIN","lm_6layers_dyck_132-132 - val_aux__MAX","lm_6layers_dyck_132-132 - test_aux","lm_6layers_dyck_132-132 - test_aux__MIN","lm_6layers_dyck_132-132 - test_aux__MAX","lm_6layers_dyck_102-102 - _step","lm_6layers_dyck_102-102 - _step__MIN","lm_6layers_dyck_102-102 - _step__MAX","lm_6layers_dyck_102-102 - val_aux","lm_6layers_dyck_102-102 - val_aux__MIN","lm_6layers_dyck_102-102 - val_aux__MAX","lm_6layers_dyck_102-102 - test_aux","lm_6layers_dyck_102-102 - test_aux__MIN","lm_6layers_dyck_102-102 - test_aux__MAX"
"570000","570113","570113","570113","1","1","1","1","1","1","570113","570113","570113","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","570113","570113","570113","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","570113","570113","570113","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","570113","570113","570113","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","570113","570113","570113","1","1","1","1","1","1","570113","570113","570113","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","570113","570113","570113","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","570113","570113","570113","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"580000","580115","580115","580115","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","580115","580115","580115","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","580115","580115","580115","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","580115","580115","580115","1","1","1","1","1","1","580115","580115","580115","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","580115","580115","580115","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","580115","580115","580115","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"590000","590117","590117","590117","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","590117","590117","590117","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","590117","590117","590117","1","1","1","1","1","1","590117","590117","590117","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","590117","590117","590117","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","590117","590117","590117","1","1","1","1","1","1","590117","590117","590117","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","590117","590117","590117","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","",""
"600000","600119","600119","600119","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","600119","600119","600119","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","600119","600119","600119","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","600119","600119","600119","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","600119","600119","600119","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","600119","600119","600119","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","600119","600119","600119","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","600119","600119","600119","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","",""
"610000","610121","610121","610121","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","610121","610121","610121","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","610121","610121","610121","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","610121","610121","610121","1","1","1","1","1","1","","","","","","","","","","610121","610121","610121","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","610121","610121","610121","1","1","1","1","1","1","610121","610121","610121","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","610121","610121","610121","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864"
"620000","620123","620123","620123","1","1","1","1","1","1","620123","620123","620123","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","620123","620123","620123","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","620123","620123","620123","1","1","1","1","1","1","620123","620123","620123","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","620123","620123","620123","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","620123","620123","620123","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","620123","620123","620123","1","1","1","1","1","1","620123","620123","620123","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","620123","620123","620123","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296"
"630000","","","","","","","","","","630125","630125","630125","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","630125","630125","630125","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","630125","630125","630125","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","630125","630125","630125","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","630125","630125","630125","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","630125","630125","630125","1","1","1","1","1","1","630125","630125","630125","1","1","1","1","1","1","630125","630125","630125","1","1","1","1","1","1","630125","630125","630125","1","1","1","1","1","1"
"640000","","","","","","","","","","640127","640127","640127","1","1","1","1","1","1","640127","640127","640127","1","1","1","1","1","1","640127","640127","640127","1","1","1","1","1","1","640127","640127","640127","1","1","1","1","1","1","640127","640127","640127","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","640127","640127","640127","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","640127","640127","640127","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","",""
"650000","650129","650129","650129","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","650129","650129","650129","1","1","1","1","1","1","650129","650129","650129","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","650129","650129","650129","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","650129","650129","650129","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","650129","650129","650129","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","","","","","","","","","","650129","650129","650129","1","1","1","1","1","1"
"660000","660131","660131","660131","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","","","","","","","","","","660131","660131","660131","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","660131","660131","660131","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","660131","660131","660131","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","660131","660131","660131","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","660131","660131","660131","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","660131","660131","660131","1","1","1","1","1","1","660131","660131","660131","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296"
"670000","670133","670133","670133","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","","","","","","","","","","670133","670133","670133","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","670133","670133","670133","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","670133","670133","670133","1","1","1","1","1","1","","","","","","","","","","670133","670133","670133","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","670133","670133","670133","1","1","1","1","1","1"
"680000","680135","680135","680135","1","1","1","1","1","1","680135","680135","680135","1","1","1","1","1","1","680135","680135","680135","1","1","1","1","1","1","680135","680135","680135","1","1","1","1","1","1","","","","","","","","","","680135","680135","680135","1","1","1","1","1","1","680135","680135","680135","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","680135","680135","680135","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","","","","","","","","","","680135","680135","680135","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864"
"690000","690137","690137","690137","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","690137","690137","690137","1","1","1","1","1","1","690137","690137","690137","1","1","1","1","1","1","690137","690137","690137","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","690137","690137","690137","1","1","1","1","1","1","690137","690137","690137","1","1","1","1","1","1","","","","","","","","","","690137","690137","690137","1","1","1","1","1","1","690137","690137","690137","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","",""
"700000","700139","700139","700139","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","","","","","","","","","","700139","700139","700139","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","700139","700139","700139","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","700139","700139","700139","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","700139","700139","700139","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","700139","700139","700139","1","1","1","1","1","1"
"710000","710141","710141","710141","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","710141","710141","710141","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","710141","710141","710141","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","710141","710141","710141","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","710141","710141","710141","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","710141","710141","710141","1","1","1","1","1","1","710141","710141","710141","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","710141","710141","710141","1","1","1","1","1","1","","","","","","","","",""
"720000","720143","720143","720143","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","720143","720143","720143","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","720143","720143","720143","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","720143","720143","720143","1","1","1","1","1","1","720143","720143","720143","1","1","1","1","1","1","720143","720143","720143","1","1","1","1","1","1","720143","720143","720143","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","720143","720143","720143","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","720143","720143","720143","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","",""
"730000","730145","730145","730145","1","1","1","1","1","1","730145","730145","730145","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","730145","730145","730145","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","730145","730145","730145","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","730145","730145","730145","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","730145","730145","730145","1","1","1","1","1","1","730145","730145","730145","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"740000","740147","740147","740147","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","740147","740147","740147","1","1","1","1","1","1","740147","740147","740147","1","1","1","1","1","1","740147","740147","740147","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","740147","740147","740147","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","740147","740147","740147","1","1","1","1","1","1","740147","740147","740147","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","740147","740147","740147","1","1","1","1","1","1","740147","740147","740147","1","1","1","1","1","1","740147","740147","740147","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"750000","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","750149","750149","750149","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","750149","750149","750149","1","1","1","1","1","1","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","750149","750149","750149","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","",""
"760000","760151","760151","760151","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","760151","760151","760151","1","1","1","1","1","1","760151","760151","760151","1","1","1","1","1","1","","","","","","","","","","760151","760151","760151","1","1","1","1","1","1","760151","760151","760151","1","1","1","1","1","1","760151","760151","760151","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","760151","760151","760151","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","760151","760151","760151","1","1","1","1","1","1","","","","","","","","",""
"770000","770153","770153","770153","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","770153","770153","770153","1","1","1","1","1","1","770153","770153","770153","1","1","1","1","1","1","770153","770153","770153","1","1","1","1","1","1","770153","770153","770153","1","1","1","1","1","1","770153","770153","770153","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","770153","770153","770153","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","770153","770153","770153","1","1","1","1","1","1","","","","","","","","","","","","","","","","","",""
"780000","780155","780155","780155","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","780155","780155","780155","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","780155","780155","780155","1","1","1","1","1","1","780155","780155","780155","1","1","1","1","1","1","","","","","","","","","","780155","780155","780155","1","1","1","1","1","1","780155","780155","780155","1","1","1","1","1","1","","","","","","","","","","780155","780155","780155","1","1","1","1","1","1"
"790000","790157","790157","790157","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","790157","790157","790157","1","1","1","1","1","1","790157","790157","790157","1","1","1","1","1","1","790157","790157","790157","1","1","1","1","1","1","","","","","","","","","","790157","790157","790157","1","1","1","1","1","1","790157","790157","790157","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","790157","790157","790157","1","1","1","1","1","1","790157","790157","790157","1","1","1","1","1","1","790157","790157","790157","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"800000","","","","","","","","","","","","","","","","","","","","","","","","","","","","800159","800159","800159","1","1","1","1","1","1","","","","","","","","","","800159","800159","800159","1","1","1","1","1","1","800159","800159","800159","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","800159","800159","800159","1","1","1","1","1","1","","","","","","","","","","800159","800159","800159","1","1","1","1","1","1"
"810000","810161","810161","810161","1","1","1","1","1","1","","","","","","","","","","810161","810161","810161","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","810161","810161","810161","1","1","1","1","1","1","810161","810161","810161","1","1","1","1","1","1","810161","810161","810161","1","1","1","1","1","1","810161","810161","810161","1","1","1","1","1","1","","","","","","","","","","810161","810161","810161","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","810161","810161","810161","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"820000","820163","820163","820163","1","1","1","1","1","1","820163","820163","820163","1","1","1","1","1","1","820163","820163","820163","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","820163","820163","820163","1","1","1","1","1","1","820163","820163","820163","1","1","1","1","1","1","820163","820163","820163","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"830000","830165","830165","830165","1","1","1","1","1","1","830165","830165","830165","1","1","1","1","1","1","830165","830165","830165","1","1","1","1","1","1","830165","830165","830165","1","1","1","1","1","1","830165","830165","830165","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","830165","830165","830165","1","1","1","1","1","1","830165","830165","830165","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","830165","830165","830165","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","","","","","","","","","","","","","","","","","",""
"840000","","","","","","","","","","","","","","","","","","","840167","840167","840167","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","840167","840167","840167","1","1","1","1","1","1","","","","","","","","","","840167","840167","840167","1","1","1","1","1","1","840167","840167","840167","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","840167","840167","840167","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","840167","840167","840167","1","1","1","1","1","1","840167","840167","840167","1","1","1","1","1","1"
"850000","","","","","","","","","","850169","850169","850169","1","1","1","1","1","1","850169","850169","850169","1","1","1","1","1","1","","","","","","","","","","850169","850169","850169","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","850169","850169","850169","1","1","1","1","1","1","850169","850169","850169","1","1","1","1","1","1","850169","850169","850169","1","1","1","1","1","1","850169","850169","850169","1","1","1","1","1","1","850169","850169","850169","1","1","1","1","1","1"
"860000","860171","860171","860171","1","1","1","1","1","1","","","","","","","","","","860171","860171","860171","1","1","1","1","1","1","860171","860171","860171","1","1","1","1","1","1","860171","860171","860171","1","1","1","1","1","1","860171","860171","860171","1","1","1","1","1","1","860171","860171","860171","1","1","1","1","1","1","860171","860171","860171","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","860171","860171","860171","1","1","1","1","1","1"
"870000","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","","","","","","","","","","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1","870173","870173","870173","1","1","1","1","1","1"
"880000","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1","880175","880175","880175","1","1","1","1","1","1"
"890000","890177","890177","890177","1","1","1","1","1","1","","","","","","","","","","890177","890177","890177","1","1","1","1","1","1","890177","890177","890177","1","1","1","1","1","1","890177","890177","890177","1","1","1","1","1","1","890177","890177","890177","1","1","1","1","1","1","890177","890177","890177","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","890177","890177","890177","1","1","1","1","1","1","890177","890177","890177","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","890177","890177","890177","1","1","1","1","1","1"
"900000","900179","900179","900179","1","1","1","1","1","1","900179","900179","900179","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","900179","900179","900179","1","1","1","1","1","1","900179","900179","900179","1","1","1","1","1","1","900179","900179","900179","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","900179","900179","900179","1","1","1","1","1","1","900179","900179","900179","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"910000","910181","910181","910181","1","1","1","1","1","1","910181","910181","910181","1","1","1","1","1","1","","","","","","","","","","910181","910181","910181","1","1","1","1","1","1","","","","","","","","","","910181","910181","910181","1","1","1","1","1","1","910181","910181","910181","1","1","1","1","1","1","","","","","","","","","","910181","910181","910181","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","910181","910181","910181","1","1","1","1","1","1"
"920000","920183","920183","920183","1","1","1","1","1","1","920183","920183","920183","1","1","1","1","1","1","920183","920183","920183","1","1","1","1","1","1","920183","920183","920183","1","1","1","1","1","1","","","","","","","","","","920183","920183","920183","1","1","1","1","1","1","920183","920183","920183","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","920183","920183","920183","1","1","1","1","1","1","","","","","","","","",""
"930000","930185","930185","930185","1","1","1","1","1","1","","","","","","","","","","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1","930185","930185","930185","1","1","1","1","1","1"
"940000","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","","","","","","","","","","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1","940187","940187","940187","1","1","1","1","1","1"
"950000","950189","950189","950189","1","1","1","1","1","1","950189","950189","950189","1","1","1","1","1","1","","","","","","","","","","950189","950189","950189","1","1","1","1","1","1","950189","950189","950189","1","1","1","1","1","1","950189","950189","950189","1","1","1","1","1","1","950189","950189","950189","1","1","1","1","1","1","950189","950189","950189","1","1","1","1","1","1","","","","","","","","","","950189","950189","950189","1","1","1","1","1","1"
"960000","960191","960191","960191","1","1","1","1","1","1","","","","","","","","","","960191","960191","960191","1","1","1","1","1","1","","","","","","","","","","960191","960191","960191","1","1","1","1","1","1","960191","960191","960191","1","1","1","1","1","1","960191","960191","960191","1","1","1","1","1","1","960191","960191","960191","1","1","1","1","1","1","960191","960191","960191","1","1","1","1","1","1","960191","960191","960191","1","1","1","1","1","1"
"970000","970193","970193","970193","1","1","1","1","1","1","","","","","","","","","","970193","970193","970193","1","1","1","1","1","1","970193","970193","970193","1","1","1","1","1","1","","","","","","","","","","970193","970193","970193","1","1","1","1","1","1","970193","970193","970193","1","1","1","1","1","1","970193","970193","970193","1","1","1","1","1","1","","","","","","","","","","970193","970193","970193","1","1","1","1","1","1"
"980000","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","980195","980195","980195","1","1","1","1","1","1","","","","","","","","","","980195","980195","980195","1","1","1","1","1","1"
"990000","990197","990197","990197","1","1","1","1","1","1","990197","990197","990197","1","1","1","1","1","1","","","","","","","","","","990197","990197","990197","1","1","1","1","1","1","","","","","","","","","","990197","990197","990197","1","1","1","1","1","1","990197","990197","990197","1","1","1","1","1","1","990197","990197","990197","1","1","1","1","1","1","990197","990197","990197","1","1","1","1","1","1","990197","990197","990197","1","1","1","1","1","1"
"1000000","1000199","1000199","1000199","1","1","1","1","1","1","1000199","1000199","1000199","1","1","1","1","1","1","1000199","1000199","1000199","1","1","1","1","1","1","","","","","","","","","","1000199","1000199","1000199","1","1","1","1","1","1","","","","","","","","","","1000199","1000199","1000199","1","1","1","1","1","1","1000199","1000199","1000199","1","1","1","1","1","1","1000199","1000199","1000199","1","1","1","1","1","1","1000199","1000199","1000199","1","1","1","1","1","1"